id,zanr
143321,General
143321,Action
143321,Arcade
160759,Action
160759,Fighting
160759,2D
161058,Sports
161058,Alternative
161058,Skateboarding
566341,Action Adventure
566341,General
566341,Linear
552334,Action
552334,First-Person
552334,Shooter
552334,Arcade
491481,Action RPG
491481,Role-Playing
491481,Western-Style
103158,Action
103158,Shooter
103158,First-Person
103158,Sci-Fi
103158,Arcade
154577,Action
154577,Shooter
154577,First-Person
154577,Sci-Fi
154577,Arcade
111086,Action
111086,Platformer
111086,2D
107980,Action Adventure
107980,Fantasy
245751,Platformer
245751,3D
245751,Action
568384,Action
568384,Platformer
568384,2D
110264,Strategy
110264,Real-Time
110264,Sci-Fi
110264,Command
100926,Sports
100926,Alternative
100926,Snowboarding
111276,Action
111276,Fighting
111276,3D
111276,2D
155832,Action Adventure
155832,Adventure
155832,3D
155832,Sandbox
155832,First-Person
155832,Fantasy
522807,Role-Playing
522807,Japanese-Style
211050,Role-Playing
211050,Console-style RPG
211050,Japanese-Style
437555,Role-Playing
437555,Japanese-Style
550126,Action Adventure
550126,Open-World
103030,Sports
103030,Alternative
103030,Snowboarding
161460,Action Adventure
161460,Modern
102047,Action Adventure
102047,Modern
102047,Open-World
161956,Action
161956,Shooter
161956,First-Person
161956,Sci-Fi
100214,Strategy
100214,Real-Time
100214,Sci-Fi
100214,General
100214,Command
104007,Action Adventure
104007,Fantasy
108818,Role-Playing
108818,First-Person
108818,Western-Style
110357,Role-Playing
110357,First-Person
110357,Western-Style
109811,Action
109811,Shooter
109811,Third-Person
109811,Sci-Fi
109811,Arcade
163337,Action
163337,Fighting
163337,3D
102514,Sports
102514,Traditional
102514,Soccer
102514,Sim
102193,Sports
102193,Traditional
102193,Football
102193,Sim
143047,Role-Playing
143047,Action RPG
245915,Modern
245915,Action Adventure
245915,Open-World
160662,Role-Playing
160662,Console-style RPG
142853,Action Adventure
142853,Fantasy
142853,General
142853,Open-World
160898,Driving
160898,Racing
160898,Kart
142862,Action
142862,Miscellaneous
142862,Rhythm
142862,Music
161714,Action
161714,Beat-'Em-Up
160816,Driving
160816,Racing
160816,GT / Street
161957,Sports
161957,Traditional
161957,Basketball
161957,Sim
160640,Action
160640,Platformer
160640,2D
101709,Role-Playing
101709,Third-Person
101709,General
102558,Action
102558,Fighting
102558,3D
300452,General
300452,Modern
300452,Action Adventure
300452,Linear
522816,Action
522816,Fighting
522816,2D
123372,Action
123372,Platformer
123372,2D
167466,Role-Playing
167466,Action RPG
160764,Role-Playing
160764,Console-style RPG
160795,Driving
160795,Racing
160795,Futuristic
162678,Action Adventure
162678,Modern
491477,Action Adventure
491477,Survival
325831,Action
325831,Platformer
325831,2D
101893,Role-Playing
101893,Massively Multiplayer Online
101893,Massively Multiplayer
101893,Fantasy
105168,Action Adventure
105168,Modern
105168,Open-World
115152,Miscellaneous
115152,General
115152,Application
103298,Sports
103298,Traditional
103298,Soccer
103298,Sim
161133,Sports
161133,Traditional
161133,Basketball
161133,Sim
535705,Action Adventure
535705,General
535705,Linear
101571,Action
101571,Fighting
101571,3D
167516,Role-Playing
167516,First-Person
167516,Western-Style
161917,Action Adventure
161917,Fantasy
110055,Action
110055,Shooter
110055,First-Person
110055,Modern
110055,Arcade
527298,Racing
527298,Simulation
527298,Automobile
111374,Action Adventure
111374,Fantasy
111374,Linear
524071,Role-Playing
524071,Western-Style
161322,Sports
161322,Traditional
161322,Football
161322,Sim
101559,Sports
101559,Alternative
101559,Snowboarding
101717,Sports
101717,Traditional
101717,Ice Hockey
101717,Sim
109115,Action
109115,Miscellaneous
109115,Rhythm
109115,Music
102817,Action Adventure
102817,Fantasy
167225,Action Adventure
167225,Modern
167225,Linear
109918,Action
109918,Miscellaneous
109918,Rhythm
109918,Music
346720,Action
346720,Platformer
346720,3D
325905,Fantasy
325905,Role-Playing
325905,Action Adventure
325905,General
325905,Action RPG
161960,Action Adventure
161960,Horror
101161,Strategy
101161,Real-Time
101161,Fantasy
101161,General
162063,Sports
162063,Alternative
162063,Snowboarding
100290,Simulation
100290,Miscellaneous
100290,Virtual Life
100290,Virtual
160629,Action
160629,Platformer
160629,3D
100912,Strategy
100912,Real-Time
100912,Wargame
100912,General
507354,Action
507354,Platformer
507354,2D
112650,Action
112650,Miscellaneous
112650,Rhythm
112650,Music
162524,Driving
162524,Racing
162524,GT / Street
162072,Sports
162072,Traditional
162072,Football
162072,Sim
126976,Action
126976,Fighting
126976,3D
126976,2D
103766,Sports
103766,Traditional
103766,Team
103766,Soccer
103766,Sim
161006,Strategy
161006,Turn-Based
161006,Modern
161982,Role-Playing
161982,Action RPG
512242,Adventure
512242,3D
512242,First-Person
101386,Action
101386,Shooter
101386,First-Person
101386,Modern
101386,Tactical
100253,Action Adventure
100253,Sci-Fi
100253,Survival
104102,Action Adventure
104102,Modern
104102,General
101499,Role-Playing
101499,Console-style RPG
511001,Role-Playing
511001,Japanese-Style
161328,Sports
161328,Traditional
161328,Football
161328,Sim
234332,Action RPG
234332,Role-Playing
161028,Action
161028,Platformer
161028,2D
162415,Sports
162415,Traditional
162415,Football
162415,Sim
161102,Action
161102,Fighting
161102,3D
161463,Sports
161463,Traditional
161463,Football
161463,Sim
160789,Sports
160789,Traditional
160789,Tennis
102748,Strategy
102748,Real-Time
102748,Historic
102748,General
112534,Driving
112534,Racing
112534,Simulation
112534,GT / Street
112534,Automobile
516108,Action Adventure
516108,General
492253,Role-Playing
492253,General
492253,Japanese-Style
112943,Action Adventure
112943,Fantasy
112943,General
161203,Action
161203,Platformer
161203,3D
162038,Sports
162038,Alternative
162038,Snowboarding
163338,Action
163338,Fighting
163338,3D
160778,Sports
160778,Alternative
160778,Skateboarding
100138,Action Adventure
100138,Fantasy
100138,General
213577,Strategy
213577,Turn-Based
213577,Fantasy
213577,Tactics
100119,Strategy
100119,Real-Time
100119,Historic
100119,Command
100555,Role-Playing
100555,Console-style RPG
163203,Action Adventure
163203,Fantasy
226472,Miscellaneous
226472,Adventure
226472,Compilation
226472,Point-and-Click
100277,Action
100277,Shooter
100277,First-Person
100277,Sci-Fi
100277,Arcade
100185,Strategy
100185,Turn-Based
100185,Sci-Fi
100185,4X
160791,Driving
160791,Racing
160791,Snow / Water
524072,Role-Playing
524072,Western-Style
110945,Strategy
110945,Turn-Based
110945,Sci-Fi
110945,4X
182652,Action
182652,Fighting
182652,3D
182652,2D
108095,Miscellaneous
108095,Rhythm
108095,Music
160670,Role-Playing
160670,Console-style RPG
109919,Action
109919,Miscellaneous
109919,Rhythm
109919,Music
112661,Role-Playing
112661,Console-style RPG
112661,Japanese-Style
518906,Action Adventure
518906,Linear
167732,Action
167732,Adventure
167732,General
167732,Platformer
167732,3D
170430,Role-Playing
170430,Action RPG
170430,Console-style RPG
160644,Action
160644,Platformer
160644,3D
160698,Action
160698,Shooter
160698,First-Person
160698,Historic
160718,Miscellaneous
160718,Rhythm
160718,Music
112648,Action
112648,Miscellaneous
112648,Rhythm
112648,Music
506413,Other
506413,Racing
506413,Arcade
506413,Automobile
155768,Miscellaneous
155768,Action Adventure
155768,Fantasy
155768,Compilation
182044,Action
182044,Action Adventure
182044,Platformer
182044,Fantasy
182044,2D
161895,Action
161895,Shooter
161895,First-Person
161895,Sci-Fi
496449,Sports
496449,Baseball
496449,Sim
496449,Team
161140,Action Adventure
161140,Sci-Fi
455529,Role-Playing
455529,Action RPG
162954,Role-Playing
162954,Console-style RPG
212022,Action
212022,Platformer
212022,2D
102441,Sports
102441,Traditional
102441,Individual
102441,Golf
102441,Sim
162374,Sports
162374,Traditional
162374,Football
162374,Sim
126975,Action
126975,Fighting
126975,3D
126975,2D
143322,Adventure
143322,General
143322,Action
143322,Arcade
112649,Action
112649,Miscellaneous
112649,Rhythm
112649,Music
543718,Simulation
543718,Flight
543718,Civilian
227893,Action RPG
227893,Role-Playing
185492,Action Adventure
185492,Modern
185492,General
103056,Sports
103056,Traditional
103056,Football
103056,Sim
101479,Action
101479,Shooter
101479,First-Person
101479,Historic
101479,Arcade
100160,Strategy
100160,Real-Time
100160,Fantasy
100160,General
142837,Action
142837,Platformer
142837,3D
142837,2D
527922,Action
527922,Platformer
527922,2D
106820,Miscellaneous
106820,Rhythm
106820,Music
110775,Role-Playing
110775,Massively Multiplayer Online
110775,Massively Multiplayer
110775,Fantasy
142864,Action
142864,Miscellaneous
142864,Rhythm
142864,Music
114951,Action
114951,Miscellaneous
114951,Shooter
114951,Compilation
114951,First-Person
114951,Sci-Fi
397035,General
397035,Action
397035,Shooter
397035,First-Person
397035,Tactical
102812,Driving
102812,Racing
102812,Simulation
102812,Formula One
102812,Automobile
161540,Sports
161540,Alternative
161540,Skateboarding
100705,Sports
100705,Traditional
100705,Football
100705,Sim
100152,Role-Playing
100152,PC-style RPG
100152,Western-Style
220586,Action Adventure
220586,Fantasy
220586,Linear
243646,Action RPG
243646,Role-Playing
142863,Action
142863,Miscellaneous
142863,Rhythm
142863,Music
101306,Action
101306,Platformer
101306,3D
101230,Simulation
101230,Flight
101230,WWII
101230,Combat
160838,Sports
160838,Traditional
160838,Tennis
100263,Simulation
100263,Sci-Fi
100263,Space
100263,Small Spaceship
100263,Combat
160643,Simulation
160643,Sci-Fi
160643,Small Spaceship
348967,Action Adventure
348967,Modern
348967,Open-World
103708,Action
103708,Platformer
103708,3D
161221,Action Adventure
161221,Horror
115033,Sports
115033,Traditional
115033,Team
115033,Soccer
115033,Sim
113954,Action Adventure
113954,Historic
113954,Open-World
103100,Action Adventure
103100,Modern
512995,Role-Playing
512995,Japanese-Style
101330,Driving
101330,Car Combat
161966,Action
161966,Platformer
161966,3D
160775,Action Adventure
160775,Modern
493707,Action
493707,Shooter
493707,First-Person
493707,Tactical
527295,Action Adventure
527295,General
109923,Action Adventure
109923,Horror
109923,Survival
105170,Action Adventure
105170,Fantasy
499257,Racing
499257,Simulation
499257,Automobile
113984,Miscellaneous
113984,Puzzle
113984,Action
161769,Action Adventure
161769,Fantasy
186885,Action
186885,Shooter
186885,First-Person
186885,Sci-Fi
186885,Arcade
523292,Action
523292,Platformer
523292,2D
102219,Action Adventure
102219,Modern
102219,General
520722,Action
520722,Platformer
520722,2D
268132,Adventure
268132,General
102280,Sports
102280,Traditional
102280,Football
102280,Sim
107808,Action
107808,Shooter
107808,First-Person
107808,Sci-Fi
107808,Arcade
161579,Action Adventure
161579,Fantasy
109810,Action Adventure
109810,Fantasy
109810,Linear
534898,Role-Playing
534898,Massively Multiplayer
100468,Action
100468,Fighting
100468,3D
106960,Role-Playing
106960,Massively Multiplayer Online
106960,Massively Multiplayer
106960,Fantasy
124664,Sports
124664,Traditional
124664,Team
124664,Baseball
124664,Sim
511008,Action Adventure
511008,General
161589,Action
161589,Platformer
161589,2D
455530,Role-Playing
455530,Action RPG
104140,Sports
104140,Traditional
104140,Individual
104140,Golf
104140,Sim
162059,Sports
162059,Traditional
162059,Football
162059,Sim
161529,Sports
161529,Traditional
161529,Football
161529,Sim
101005,Adventure
101005,Third-Person
101005,Point-and-Click
